[OrderBook] Throughput: 19.51 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.58 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.60 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.71 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.65 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.68 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.65 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.64 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.64 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.62 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.61 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.65 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.65 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.65 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.63 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.58 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.60 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.64 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.67 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.63 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.57 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.62 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.65 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.67 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.64 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.63 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.65 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.63 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.65 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.59 ticks/sec | SHM size: 16.00 KB
[OrderBook] Throughput: 19.62 ticks/sec | SHM size: 16.00 KB
[Strategy] Processed 838 orders | Avg latency: 0.0691s | Missed snapshots: 4 | News drops: 0 | Order drops: 0
